交易时间,     市场类型,商品代码,昨结,   昨收,  现价,   今开,   最高,   最低, 成交量,   成交额,  持仓量,买价,卖价,买量,卖量
2013/09/30 00:00,tpme,xag,1000.1,1011.1,1033.2,1021.2,1100.2,922.7,4904.92,12000000,123,123,123,123,123,123
2013/09/29 00:10,tpme,xag,1020.1,1001.1,1002.1,1021.2,1221.2,950.7,4904.92,12000000,123,123,123,123,123,123
2013/09/30 00:20,tpme,xag,1000.1,1011.1,1033.2,1021.2,1100.2,922.7,4904.92,12000000,123,123,123,123,123,123
2013/09/29 00:30,tpme,xag,1020.1,1001.1,1002.1,1021.2,1221.2,950.7,4904.92,12000000,123,123,123,123,123,123
2013/09/30 00:40,tpme,xag,1000.1,1011.1,1033.2,1021.2,1100.2,922.7,4904.92,12000000,123,123,123,123,123,123
2013/09/29 00:50,tpme,xag,1020.1,1001.1,1002.1,1021.2,1221.2,950.7,4904.92,12000000,123,123,123,123,123,123
2013/09/30 01:00,tpme,xag,1000.1,1011.1,1033.2,1021.2,1100.2,922.7,4904.92,12000000,123,123,123,123,123,123
2013/09/29 01:20,tpme,xag,1020.1,1001.1,1002.1,1021.2,1221.2,950.7,4904.92,12000000,123,123,123,123,123,123
2013/09/28 01:30,tpme,xag,1010.1,1021.1,1002.1,1012.2,1136.2,983.7,4904.92,12000000,123,123,123,123,123,123
2013/09/27 01:40,tpme,xag,1005.1,1021.1,1012.1,1033.2,1165.2,941.7,4904.92,12000000,123,123,123,123,123,123
2013/09/26 01:50,tpme,xag,1001.1,1041.1,1072.1,1044.2,1126.2,963.7,4904.92,12000000,123,123,123,123,123,123
2013/09/25 02:00,tpme,xag,1002.1,1051.1,1021.1,1055.2,1112.2,954.7,4904.92,12000000,123,123,123,123,123,123
2013/09/25 02:10,tpme,xag,1002.1,1051.1,1021.1,1055.2,1112.2,954.7,4904.92,12000000,123,123,123,123,123,123
2013/09/25 02:20,tpme,xag,1002.1,1051.1,1021.1,1055.2,1112.2,954.7,4904.92,12000000,123,123,123,123,123,123
2013/09/25 02:30,tpme,xag,1002.1,1051.1,1021.1,1055.2,1112.2,954.7,4904.92,12000000,123,123,123,123,123,123
2013/09/25 02:40,tpme,xag,1002.1,1051.1,1021.1,1055.2,1112.2,954.7,4904.92,12000000,123,123,123,123,123,123
2013/09/24 02:50,tpme,xag,1003.1,1061.1,1012.1,1066.2,1132.2,936.7,4904.92,12000000,123,123,123,123,123,123
2013/09/23 03:00,tpme,xag,1001.1,1071.1,1022.1,1074.2,1127.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/09/23 03:10,tpme,xag,1001.1,1071.1,1022.1,1074.2,1127.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/09/23 03:20,tpme,xag,1001.1,1071.1,1022.1,1074.2,1127.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/09/23 03:30,tpme,xag,1001.1,1071.1,1022.1,1074.2,1127.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/09/23 03:40,tpme,xag,1001.1,1071.1,1022.1,1074.2,1127.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/09/23 03:50,tpme,xag,1001.1,1071.1,1022.1,1074.2,1127.2,945.7,4904.92,12000000,123,123,123,123,123,123
2013/09/22 04:00,tpme,xag,1020.1,1081.1,1032.1,1046.2,1173.2,936.7,4904.92,12000000,123,123,123,123,123,123
